Mass,dlogLumdM,dlogLumdM_lb,dlogLumdM_ub
0.14100000000000001,0.00801417016474211,0.007514733024251088,0.008462845643928544
0.14200000000000002,0.007892631564787452,0.007386005066806582,0.008350285461090654
0.14300000000000002,0.007773985610158796,0.0072618469553495935,0.008235714226752323
0.14400000000000002,0.007659173314965914,0.007136135948989166,0.008121000540235922
0.14500000000000002,0.0075408388016515214,0.007008941731496593,0.008006539947489545
0.14505466870481754,0.007534772822494488,0.007003452826861476,0.008001471233369412
0.14600000000000002,0.0074264907655362,0.006888064476427264,0.00789983048170834
0.14700000000000002,0.0073153179883660505,0.006771090188107435,0.007795050671614171
0.14800000000000002,0.007205376884469504,0.006658853648479297,0.007686702002167291
0.14900000000000002,0.007096650276025873,0.006546811656216012,0.007580351747037427
0.15000000000000002,0.0069923718367726016,0.006433317003434018,0.00747899378667833
0.15100000000000002,0.006890949554036277,0.006325170089947463,0.007379063364578579
0.15200000000000002,0.006788932405227029,0.0062221197569386055,0.007283076234873872
0.15300000000000002,0.006687494755334877,0.006115623605276949,0.00718482352479128
0.15400000000000003,0.006591499820121067,0.006014358882656019,0.007091348405593936
0.15500000000000003,0.006496122634738187,0.005917039448898793,0.007000947902402553
0.15600000000000003,0.006404269644493594,0.005823159895288291,0.0069125624042467755
0.15700000000000003,0.006313004666205237,0.005732869185498974,0.0068251558012880215
0.15731213362868723,0.006284866662452398,0.005708829058549106,0.00679581756941276
0.15800000000000003,0.006226024695597939,0.0056440439159351095,0.006734002918604258
0.15900000000000003,0.006140886614765688,0.005556119583959676,0.006647070982789751
0.16000000000000003,0.0060587485645951485,0.005471623421983509,0.006563576316418573
0.16100000000000003,0.005977699908407336,0.005391977759148907,0.006483004015949763
0.16103665083914465,0.005974193665949995,0.0053895033845215955,0.0064797053431784055
0.16200000000000003,0.005898023036671952,0.005314794999343558,0.0064041366945591085
0.16300000000000003,0.005821399660926843,0.005241270973386891,0.006326700045326904
0.16400000000000003,0.00574996012572281,0.005172684115791188,0.006250594927459946
0.16500000000000004,0.005677675600647944,0.005104921610697664,0.006176973829407417
0.16600000000000004,0.005610267591281299,0.005039876672221193,0.006107177707683614
0.16700000000000004,0.005543270326858598,0.004974706376005764,0.006035696239033422
0.16800000000000004,0.005478445880056196,0.004913632985663681,0.005971415353879349
0.16900000000000004,0.005415303636036009,0.004854004872428935,0.005904135570705414
0.17000000000000004,0.005353592763308373,0.004800943113275177,0.005839704768990822
0.17100000000000004,0.005296584300213141,0.004747418516759066,0.005777084358085811
