Mass,Teff,Teff_lb,Teff_ub
0.14400000000000002,3066.4698288385325,3033.5494337894747,3100.4184725990344
0.14500000000000002,3072.7595727283087,3039.7045775512993,3106.1685976300832
0.14505466870481754,3072.9865638989254,3040.2481237679776,3106.5849817887474
0.14600000000000002,3079.098022406448,3045.84457350055,3112.094488086679
0.14700000000000002,3085.040146537216,3052.271114344675,3118.171102900683
0.14800000000000002,3091.020183695179,3058.266619070511,3124.07725292065
0.14900000000000002,3096.8559887104598,3064.1712227329886,3129.7561803289686
0.15000000000000002,3102.7742067575973,3070.054637023022,3135.4402490423204
0.15100000000000002,3108.2566762041693,3075.814889877616,3140.8619632396176
0.15200000000000002,3113.9654271807576,3081.41297651293,3146.1683061572217
0.15300000000000002,3119.1356785906496,3086.874076651842,3151.342224661366
0.15400000000000003,3124.5882309282333,3092.3323439919063,3156.5995037139896
