Mass,LogL,LogL_lb,LogL_ub
0.279,-2.0324755067645603,-2.041035692901002,-2.0238462477873913
0.28,-2.029622645201524,-2.038104652526344,-2.0209210116303997
0.281,-2.0267091471324106,-2.0353410370539966,-2.018020706498346
0.28200000000000003,-2.0237577974768017,-2.0324530033722064,-2.015022764388478
0.28300000000000003,-2.0208658150195955,-2.0295917048665673,-2.0120649630625755
0.28400000000000003,-2.0178421782122244,-2.0267072225737524,-2.0091211980987915
0.28500000000000003,-2.014987701673234,-2.0237987116554392,-2.0061348274187503
0.28600000000000003,-2.0120425046867707,-2.020904894046983,-2.003148712917557
0.28700000000000003,-2.0090395540478854,-2.0179801993535462,-2.000174297843834
0.28800000000000003,-2.0060806004729286,-2.015100413874401,-1.9972007482868168
0.28900000000000003,-2.003154009205636,-2.012132030033532,-1.994248211869902
0.29000000000000004,-2.0001278923729675,-2.009145148653201,-1.9912376183058964
0.29100000000000004,-1.9970590158696908,-2.0061108930895215,-1.9882457303507932
0.29200000000000004,-1.994080891942876,-2.0031758294819197,-1.9851919191777505
0.29300000000000004,-1.9910739714210632,-2.0002101862243395,-1.9821718375659743
0.29400000000000004,-1.9880093639396694,-1.9971533511923973,-1.979147739630255
0.29428121960450315,-1.9871581172233044,-1.9963187694533673,-1.9782090893667856
0.29500000000000004,-1.9850179334345572,-1.9941497674724544,-1.9760473452177088
0.29600000000000004,-1.9818900629795226,-1.9911609167638873,-1.9730063194290095
0.29700000000000004,-1.9788976405792909,-1.988125859808011,-1.9698907642586345
0.29800000000000004,-1.9758080943670717,-1.9849978660781922,-1.966835909152856
0.29819329599549477,-1.9751760606419655,-1.9843665573294507,-1.9662525916400617
0.29900000000000004,-1.9727275088475666,-1.9819182458498008,-1.9636669391878179
0.30000000000000004,-1.9695781003956085,-1.9787584452852498,-1.960564355533508
0.30100000000000005,-1.9664373594042313,-1.975623624188832,-1.9574094900288985
0.30200000000000005,-1.9633133609565374,-1.972455796893286,-1.9542310595747623
0.30300000000000005,-1.9601554525831275,-1.969401672161098,-1.9509484635020937
0.3035271393442765,-1.958477442118058,-1.9677105634383787,-1.9493020969445285
0.3037108917529434,-1.9578937958829417,-1.9671031824370198,-1.9487196056328504
0.30400000000000005,-1.9569160195831936,-1.9661985489270482,-1.9478306225687465
0.30500000000000005,-1.9537573481937023,-1.9630117113769578,-1.9445807895715277
0.30600000000000005,-1.950578245231676,-1.9599171604303396,-1.9412836024027988
0.30700000000000005,-1.947353052532254,-1.9566882453711374,-1.9380536739547525
0.3071751507199879,-1.9468209718939953,-1.956121501234168,-1.9374306114721898
0.30800000000000005,-1.9441571889008644,-1.953531947169476,-1.934791718887259
0.30900000000000005,-1.9408618126980413,-1.9502269642204066,-1.93144505716469
0.31000000000000005,-1.9375666525146484,-1.9470148283841273,-1.9281764902693732
0.31100000000000005,-1.9342583517823821,-1.9438487959307245,-1.9247496996649682
0.31200000000000006,-1.9309488636440664,-1.9405515111147065,-1.9213834352176586
0.31300000000000006,-1.927565155529496,-1.9372658910133516,-1.9180010547977209
0.31400000000000006,-1.924292804593622,-1.9340045784152884,-1.9146499212048584
0.31500000000000006,-1.9208901342101679,-1.930677458993114,-1.9112031156605305
0.3159081157786916,-1.9178415918297333,-1.9276636143790729,-1.9081206078273394
0.31600000000000006,-1.9175272774105232,-1.9274034746064048,-1.9077722119995841
0.31700000000000006,-1.914111805740009,-1.9240045360535478,-1.904392809717439
0.31800000000000006,-1.9106768000463323,-1.9207017783978002,-1.9009176384470419
0.31900000000000006,-1.9072242106579225,-1.9173284098572398,-1.8973085063719306
0.32000000000000006,-1.9037545594422474,-1.913967539249894,-1.8937743881491247
0.32008860907817804,-1.9035248662501638,-1.9137044289321543,-1.8935074027918903
0.32100000000000006,-1.9003601668173231,-1.9105578685261668,-1.8901544533416448
0.32200000000000006,-1.896863082779197,-1.907101114664696,-1.8865949180098933
0.32300000000000006,-1.89334341013592,-1.9036978119026102,-1.8830687981991616
0.32400000000000007,-1.8898250295712753,-1.9002779340532243,-1.8794706832470882
0.32500000000000007,-1.8863335524041318,-1.8968373135345213,-1.875750899934064
0.32600000000000007,-1.8828296230605086,-1.8933478087185314,-1.8720967295369528
0.32670376805998674,-1.8803275239187922,-1.8909625830017953,-1.8695915043696445
0.32700000000000007,-1.8791539138070383,-1.8898511333567982,-1.8684594657257694
0.32800000000000007,-1.8757175200371352,-1.886480646475697,-1.8647899065432054
0.32900000000000007,-1.8721021266606834,-1.8829968245900497,-1.8610999506771426
0.33000000000000007,-1.8685693711162144,-1.879490434766065,-1.8575061856815962
0.33100000000000007,-1.865000467936684,-1.8760338181123917,-1.8538340419552126
0.3320000000000001,-1.8613482823291423,-1.8725308784091121,-1.8500787388067228
0.3330000000000001,-1.8578088656604677,-1.869033743398513,-1.8462062608158918
0.3340000000000001,-1.8541146254893626,-1.8655283481690628,-1.8425453460507075
0.3350000000000001,-1.8505455870961458,-1.86207631134457,-1.8387720129096365
0.3360000000000001,-1.8470218564868663,-1.8585064952930312,-1.8349894024461726
0.3360275057092562,-1.8467734392411757,-1.8584313977731066,-1.8349199151080497
0.3370000000000001,-1.843337344417273,-1.8551334596171793,-1.831129223708094
0.3380000000000001,-1.8397656106536338,-1.8515751483837304,-1.827328054939912
0.3390000000000001,-1.8361377635398681,-1.8481612111063734,-1.8235946875374076
0.3400000000000001,-1.832501309951017,-1.8446254310561985,-1.8198263582604817
0.3410000000000001,-1.828911441866317,-1.8412072509380784,-1.815962658231943
0.3420000000000001,-1.8253270647283875,-1.837583406660873,-1.8122786680459706
0.3430000000000001,-1.8217019868247386,-1.834193282958321,-1.8085715522272903
0.3440000000000001,-1.8181591785962032,-1.8306412385019377,-1.8046746646860399
0.3450000000000001,-1.814653923284788,-1.8272772418022165,-1.8010045559299668
0.3459180882588884,-1.8113047949452,-1.8241749184037803,-1.797505255390711
0.3460000000000001,-1.811115621983102,-1.8237721258957487,-1.7971633110929888
0.3470000000000001,-1.8075421541321877,-1.8203725234449286,-1.7935023324651915
0.3480000000000001,-1.8040434028009549,-1.8169564494140897,-1.7896265420602944
0.3490000000000001,-1.800492888991121,-1.8135937060781633,-1.786029016102912
0.3500000000000001,-1.7969488756509109,-1.8102558820352677,-1.782273975421722
0.3510000000000001,-1.7935280913959009,-1.8067781144318347,-1.7786216481012682
