Teff,LogL,LogL_lb,LogL_ub
2850.0,-2.918951689850087,-2.9681318657960833,-2.8721321101371786
2855.0,-2.911437362085559,-2.9606759724025293,-2.8646024048518814
2860.0,-2.90371507058237,-2.9529623232412257,-2.8571591136643457
2865.0,-2.8960714262284317,-2.9449364636538085,-2.849584179336474
2870.0,-2.8884344798303117,-2.9372055508675694,-2.8421639616847147
2875.0,-2.8806301602954623,-2.929289576747648,-2.8346917161369016
2880.0,-2.872824440552356,-2.9212558106289244,-2.826733635420305
2885.0,-2.865049579914397,-2.9134542875814256,-2.8192271435024696
2890.0,-2.85733024235311,-2.905410643172937,-2.811490432355529
2895.0,-2.84936365181163,-2.897384887348397,-2.8034275171015643
2900.0,-2.841118470546681,-2.889321543999783,-2.795554870390185
2905.0,-2.833264984149829,-2.8817185098057667,-2.7878853474253633
2910.0,-2.8253113197982893,-2.8733531995218713,-2.779907637878313
2915.0,-2.8171173940334153,-2.8651392005888994,-2.7717830494548164
2920.0,-2.8088536170895324,-2.8569949976962046,-2.763594069617097
2925.0,-2.800514829711396,-2.8486606764278912,-2.7556077961959327
2930.0,-2.792181987482887,-2.8401326739397663,-2.7473337529824406
2935.0,-2.783897037242592,-2.831604634413544,-2.7390611526369324
2940.0,-2.7753652557022743,-2.8231243255661425,-2.7307942432321655
2945.0,-2.7668063180092175,-2.814800458204215,-2.7224099767862118
2950.0,-2.7581400926888024,-2.805962631456895,-2.71418535598068
2955.0,-2.749583027934065,-2.79715613947165,-2.7058406139163513
2960.0,-2.7410392550433738,-2.78834014696918,-2.6973534467542843
2965.0,-2.732276550568166,-2.7796116710287326,-2.688703116810488
2970.0,-2.7235420689568484,-2.7705599688476226,-2.6801643670268147
2975.0,-2.7144679340604787,-2.761629543095717,-2.671549235743862
2976.6442614701978,-2.7115319238571938,-2.758564200419823,-2.6688061182698477
2980.0,-2.7056866559112804,-2.7524717831541294,-2.6630695463500444
2985.0,-2.6966320636027046,-2.7431907121157337,-2.6542816779292573
2990.0,-2.6876154677745605,-2.7340281853411708,-2.6455136622640256
2991.711585915493,-2.684583605052736,-2.730863179090171,-2.642569854827213
2995.0,-2.6786600848556823,-2.7247268905733835,-2.6367758302570916
3000.0,-2.669469227243053,-2.7154641897057634,-2.6278682087731586
3005.0,-2.6603598176879,-2.7060939129788952,-2.6188681257235125
3010.0,-2.6510400778477847,-2.6966649744713296,-2.6099769379846243
3015.0,-2.64187209778054,-2.6869500778402466,-2.600995195919261
3020.0,-2.6324531610131254,-2.6774679750629353,-2.5919834154099095
3025.0,-2.623075940262277,-2.668052271457612,-2.582824834063268
3030.0,-2.613575609378308,-2.65821400377624,-2.5735950281536644
3035.0,-2.603925027260974,-2.6482330252406068,-2.564439346503721
3040.0,-2.594341318129781,-2.6385801054240483,-2.5551539387308235
3045.0,-2.5847234247699595,-2.6286993483222805,-2.545887406123069
3050.0,-2.5751666797615385,-2.618338626913428,-2.5366113675438253
3055.0,-2.5653033851300604,-2.6083675335218275,-2.527161239681824
3060.0,-2.5556205983943605,-2.5980896247263536,-2.517615075826417
3065.0,-2.545793945105079,-2.5880712628036426,-2.508284489346798
3070.0,-2.5358734307586372,-2.577939103841724,-2.498561980854339
3075.0,-2.5260021593418993,-2.5676151616636873,-2.4890315484269463
3080.0,-2.5159128681114,-2.557294299355379,-2.4791621076667982
3085.0,-2.506115977559311,-2.5470010077513674,-2.4698813794262766
3090.0,-2.4959072924170367,-2.536487993504808,-2.460152870643359
3095.0,-2.4858318815721563,-2.5258565737418786,-2.450555315840691
3100.0,-2.4759092211171265,-2.515297782028188,-2.4406987250773318
3105.0,-2.4657290758847057,-2.504706635129755,-2.4308090661701542
3110.0,-2.4555038084909753,-2.494337718912271,-2.4210934232738497
3110.95084468964,-2.453528608324966,-2.4921975271313994,-2.4191583575896436
3115.0,-2.445273804704783,-2.483991245734883,-2.411165729616829
3118.866303216872,-2.437369660434749,-2.4757014428631767,-2.403513739176388
3120.0,-2.435176055131607,-2.473192155852235,-2.401244143506477
3125.0,-2.424909731572251,-2.462618134571315,-2.3912177375732337
3130.0,-2.414612965450014,-2.4519462080337786,-2.3812465401730436
3135.0,-2.404214942654539,-2.4408481634636834,-2.3712098986921464
3140.0,-2.393942318940208,-2.4302252943163545,-2.361189788339206
3145.0,-2.383507640081359,-2.4194874255838674,-2.3511687139530517
3150.0,-2.373202894152664,-2.408548118470912,-2.3409350971328444
3154.972399931523,-2.3627164166782455,-2.3974367949158992,-2.330881190644025
